,provincia,poblacion,cp
51,Araba/Álava,Iruraiz-Gauna,01206
52,Araba/Álava,San Millán/Donemiliaga,01207
53,Araba/Álava,Agurain/Salvatierra,01207
54,Araba/Álava,Iruraiz-Gauna,01207
55,Araba/Álava,San Millán/Donemiliaga,01208
56,Araba/Álava,Asparrena,01208
57,Araba/Álava,Zalduondo,01208
58,Araba/Álava,Barrundia,01208
59,Araba/Álava,Armiñón,01211
60,Araba/Álava,Berantevilla,01211
61,Araba/Álava,Peñacerrada-Urizaharra,01211
62,Burgos,Condado de Treviño,01211
63,Araba/Álava,Lagrán,01211
64,Araba/Álava,Zambrana,01212
65,Araba/Álava,Berantevilla,01212
66,Araba/Álava,Peñacerrada-Urizaharra,01212
67,Araba/Álava,Labastida/Bastida,01212
68,Araba/Álava,Lantarón,01213
69,Araba/Álava,Erriberagoitia/Ribera Alta,01213
70,Araba/Álava,Ribera Baja/Erribera Beitia,01213
71,Araba/Álava,Bernedo,01216
72,Araba/Álava,Peñacerrada-Urizaharra,01216
73,Araba/Álava,Armiñón,01220
74,Araba/Álava,Erriberagoitia/Ribera Alta,01220
75,Araba/Álava,Berantevilla,01220
76,Araba/Álava,Ribera Baja/Erribera Beitia,01220
77,Araba/Álava,Iruña Oka/Iruña de Oca,01230
78,Araba/Álava,Asparrena,01250
79,Araba/Álava,Asparrena,01260
80,Araba/Álava,Laguardia,01300
81,Araba/Álava,Lapuebla de Labarca,01306
82,Araba/Álava,Samaniego,01307
83,Araba/Álava,Villabuena de Álava/Eskuernaga,01307
84,Araba/Álava,Baños de Ebro/Mañueta,01307
85,Araba/Álava,Laguardia,01308
86,Araba/Álava,Kripan,01308
87,Araba/Álava,Lanciego/Lantziego,01308
88,Araba/Álava,Leza,01309
89,Araba/Álava,Navaridas,01309
90,Araba/Álava,Elvillar/Bilar,01309
91,Araba/Álava,Laguardia,01309
92,Araba/Álava,Oyón-Oion,01320
93,Araba/Álava,Laguardia,01321
94,Araba/Álava,Moreda de Álava/Moreda Araba,01322
95,Araba/Álava,Yécora/Iekora,01322
96,Araba/Álava,Oyón-Oion,01322
97,Araba/Álava,Labastida/Bastida,01330
98,Araba/Álava,Elciego,01340
99,Araba/Álava,Laudio/Llodio,01400
100,Araba/Álava,Ayala/Aiara,01408
101,Araba/Álava,Okondo,01409
102,Araba/Álava,Erriberagoitia/Ribera Alta,01420
103,Araba/Álava,Valdegovía/Gaubea,01423
104,Araba/Álava,Añana,01423
105,Araba/Álava,Erriberagoitia/Ribera Alta,01423
106,Araba/Álava,Lantarón,01423
107,Araba/Álava,Valdegovía/Gaubea,01426
108,Araba/Álava,Añana,01426
109,Araba/Álava,Erriberagoitia/Ribera Alta,01426
110,Burgos,Berberana,01427
111,Burgos,Jurisdicción de San Zadornil,01427
112,Araba/Álava,Valdegovía/Gaubea,01427
113,Araba/Álava,Erriberagoitia/Ribera Alta,01428
114,Araba/Álava,Valdegovía/Gaubea,01428
115,Araba/Álava,Iruña Oka/Iruña de Oca,01428
116,Araba/Álava,Kuartango,01430
117,Araba/Álava,Kuartango,01439
118,Araba/Álava,Urkabustaiz,01440
119,Araba/Álava,Urkabustaiz,01449
120,Araba/Álava,Amurrio,01450
121,Araba/Álava,Zuia,01450
122,Araba/Álava,Urkabustaiz,01450
123,Araba/Álava,Amurrio,01468
124,Araba/Álava,Ayala/Aiara,01470
125,Araba/Álava,Amurrio,01470
126,Araba/Álava,Artziniega,01474
127,Araba/Álava,Ayala/Aiara,01476
128,Araba/Álava,Ayala/Aiara,01477
129,Araba/Álava,Ayala/Aiara,01478
130,Araba/Álava,Artziniega,01478
131,Araba/Álava,Ayala/Aiara,01479
132,Araba/Álava,Legutio,01510
133,Araba/Álava,Vitoria-Gasteiz,01510
134,Araba/Álava,Arratzua-Ubarrundia,01510
135,Araba/Álava,Arratzua-Ubarrundia,01520
136,Araba/Álava,Vitoria-Gasteiz,01520
137,Albacete,Albacete,02001
138,Albacete,Albacete,02002
139,Albacete,Albacete,02003
140,Albacete,Albacete,02004
141,Albacete,Albacete,02005
142,Albacete,Albacete,02006
143,Albacete,Albacete,02008
144,Albacete,Albacete,02049
145,Albacete,Albacete,02071
146,Albacete,Pozo Cañada,02099
147,Albacete,Albacete,02099
148,Albacete,Tarazona de la Mancha,02100
149,Gipuzkoa,Lezo,02100
150,Albacete,Tarazona de la Mancha,02110
151,Albacete,La Gineta,02110
152,Albacete,Peñas de San Pedro,02120
153,Albacete,Ayna,02124
154,Albacete,Liétor,02124
155,Albacete,Alcadozo,02124
156,Albacete,Ayna,02125
157,Albacete,Ayna,02126
158,Albacete,Peñas de San Pedro,02127
159,Albacete,Peñas de San Pedro,02128
160,Albacete,Alcadozo,02128
161,Albacete,Pozohondo,02129
162,Albacete,Bogarra,02130
163,Albacete,Paterna del Madera,02136
164,Albacete,Paterna del Madera,02137
165,Albacete,Peñascosa,02138
166,Albacete,Paterna del Madera,02138
167,Albacete,Bogarra,02138
168,Albacete,Bogarra,02139
169,Albacete,Ayna,02139
170,Albacete,Albacete,02140
171,Albacete,Pozohondo,02141
172,Albacete,Pozohondo,02142
173,Albacete,Liétor,02142
174,Albacete,Valdeganga,02150
175,Albacete,Casas de Juan Núñez,02151
176,Albacete,Alatoz,02152
177,Albacete,Carcelén,02153
178,Albacete,Villavaliente,02154
179,Albacete,Pozo-Lorente,02154
180,Albacete,Albacete,02155
181,Albacete,Chinchilla de Monte-Aragón,02156
182,Albacete,Lezuza,02160
183,Albacete,Lezuza,02161
184,Albacete,La Herrera,02162
185,Huelva,Bollullos Par del Condado,02170
186,Albacete,Casas-Ibáñez,02200
187,Albacete,Alcalá del Júcar,02210
188,Albacete,Alcalá del Júcar,02211
189,Albacete,Casas de Ves,02212
190,Albacete,Balsa de Ves,02213
191,Albacete,Villa de Ves,02213
192,Albacete,Balsa de Ves,02214
193,Albacete,Alcalá del Júcar,02214
194,Albacete,Villatoya,02215
195,Albacete,Alborea,02215
196,Albacete,Motilleja,02220
197,Albacete,Madrigueras,02230
198,Albacete,Mahora,02240
199,Albacete,Navas de Jorquera,02246
200,Albacete,Cenizate,02247
201,Albacete,Jorquera,02248
202,Albacete,La Recueja,02249
203,Albacete,Fuentealbilla,02249
204,Albacete,Jorquera,02249
205,Albacete,Abengibre,02250
206,Albacete,Fuentealbilla,02251
207,Albacete,Alcalá del Júcar,02252
208,Albacete,Golosalvo,02253
209,Albacete,Fuentealbilla,02260
210,Albacete,Villamalea,02270
211,Albacete,Alcaraz,02300
212,Albacete,Viveros,02310
213,Albacete,Povedilla,02311
214,Albacete,Alcaraz,02312
215,Albacete,Peñascosa,02313
216,Albacete,Peñascosa,02314
217,Albacete,Masegoso,02314
218,Albacete,Alcaraz,02314
219,Albacete,Vianos,02315
220,Albacete,Salobre,02316
221,Albacete,Balazote,02320
222,Albacete,San Pedro,02326
223,Albacete,Pozuelo,02327
224,Albacete,Albacete,02328
225,Albacete,Casas de Lázaro,02329
226,Albacete,Alcaraz,02330
227,Albacete,Robledo,02331
228,Albacete,Robledo,02332
229,Albacete,Robledo,02340
230,Albacete,Villapalacios,02350
231,Albacete,Bienservida,02360
232,Albacete,Hellín,02400
233,Albacete,Hellín,02409
234,Albacete,Liétor,02410
235,Albacete,Hellín,02420
236,Albacete,Elche de la Sierra,02430
237,Albacete,Letur,02434
238,Albacete,Socovos,02435
239,Albacete,Férez,02436
240,Albacete,Socovos,02437
241,Murcia,Moratalla,02438
242,Albacete,Elche de la Sierra,02439
243,Albacete,Molinicos,02440
244,Albacete,Bogarra,02448
245,Albacete,Molinicos,02448
246,Albacete,Molinicos,02449
247,Albacete,Elche de la Sierra,02449
248,Albacete,Riópar,02450
249,Albacete,Paterna del Madera,02459
250,Albacete,Riópar,02459
251,Albacete,Villaverde de Guadalimar,02460
252,Albacete,Cotillas,02461
253,Albacete,Villaverde de Guadalimar,02462
254,Albacete,Riópar,02462
255,Albacete,Elche de la Sierra,02470
256,Albacete,Yeste,02480
257,Albacete,Yeste,02482
258,Albacete,Yeste,02484
259,Albacete,Yeste,02485
260,Albacete,Yeste,02486
261,Albacete,Yeste,02487
262,Albacete,Yeste,02488
263,Albacete,Yeste,02489
264,Albacete,Hellín,02490
265,Albacete,Hellín,02498
266,Albacete,Hellín,02499
267,Albacete,Tobarra,02500
268,Albacete,Pozo Cañada,02510
269,Albacete,Chinchilla de Monte-Aragón,02510
270,Albacete,Albacete,02511
271,Albacete,Albacete,02512
272,Albacete,Tobarra,02513
273,Albacete,Tobarra,02514
274,Albacete,Chinchilla de Monte-Aragón,02520
275,Albacete,Chinchilla de Monte-Aragón,02529
276,Albacete,Nerpio,02530
277,Albacete,Nerpio,02534
278,Albacete,Nerpio,02535
279,Albacete,Nerpio,02536
280,Albacete,Nerpio,02537
281,Albacete,Nerpio,02538
282,Albacete,Nerpio,02539
283,Albacete,Villarrobledo,02600
284,Albacete,El Bonillo,02610
285,Albacete,Ossa de Montiel,02611
286,Albacete,Villarrobledo,02612
287,Albacete,Munera,02612
288,Albacete,El Bonillo,02613
289,Albacete,El Ballestero,02614
290,Albacete,Minaya,02620
291,Albacete,La Roda,02630
292,Albacete,Villalgordo del Júcar,02636
293,Cuenca,Casas de Benítez,02636
294,Albacete,Fuensanta,02637
295,Albacete,Montalvos,02638
296,Albacete,La Roda,02639
297,Albacete,Barrax,02639
298,Albacete,Almansa,02640
299,Albacete,Montealegre del Castillo,02650
300,Albacete,Fuente-Álamo,02651
301,Albacete,Ontur,02652
302,Albacete,Albatana,02653
303,Albacete,Caudete,02660
304,Albacete,Alpera,02690
305,Albacete,Higueruela,02690
306,Albacete,Bonete,02691
307,Albacete,Chinchilla de Monte-Aragón,02692
308,Albacete,Pétrola,02692
309,Albacete,Corral-Rubio,02693
310,Albacete,Higueruela,02694
311,Albacete,Chinchilla de Monte-Aragón,02695
312,Albacete,Hoya-Gonzalo,02696
313,Albacete,Ayna,02999
314,Alicante/Alacant,Alicante/Alacant,03001
315,Alicante/Alacant,Alicante/Alacant,03002
316,Alicante/Alacant,Alicante/Alacant,03003
317,Alicante/Alacant,Alicante/Alacant,03004
318,Alicante/Alacant,Alicante/Alacant,03005
319,Alicante/Alacant,Alicante/Alacant,03006
320,Alicante/Alacant,Alicante/Alacant,03007
321,Alicante/Alacant,Alicante/Alacant,03008
322,Alicante/Alacant,Alicante/Alacant,03009
323,Alicante/Alacant,Alicante/Alacant,03010
324,Murcia,Murcia,03010
325,Alicante/Alacant,Alicante/Alacant,03011
326,Alicante/Alacant,Alicante/Alacant,03012
327,Alicante/Alacant,Alicante/Alacant,03013
328,Alicante/Alacant,Alicante/Alacant,03014
329,Alicante/Alacant,Alicante/Alacant,03015
330,Alicante/Alacant,Alicante/Alacant,03016
331,Alicante/Alacant,Jijona/Xixona,03100
332,Alicante/Alacant,Torremanzanas/la Torre de les Maçanes,03108
333,Alicante/Alacant,Tibi,03109
334,Alicante/Alacant,Mutxamel,03110
335,Alicante/Alacant,Busot,03111
336,Alicante/Alacant,Alicante/Alacant,03112
337,Alicante/Alacant,Alicante/Alacant,03113
338,Alicante/Alacant,Alicante/Alacant,03114
339,Alicante/Alacant,Alicante/Alacant,03115
340,Alicante/Alacant,Santa Pola,03130
341,Alicante/Alacant,Alicante/Alacant,03138
342,Alicante/Alacant,Elche/Elx,03139
343,Alicante/Alacant,Guardamar del Segura,03140
344,Alicante/Alacant,Dolores,03150
345,Alicante/Alacant,Crevillent,03158
346,Alicante/Alacant,Catral,03158
347,Alicante/Alacant,Daya Nueva,03159
348,Alicante/Alacant,Almoradí,03160
349,Alicante/Alacant,Algorfa,03169
350,Alicante/Alacant,Rojales,03170
351,Alicante/Alacant,San Fulgencio,03177
352,Alicante/Alacant,Daya Vieja,03177
353,Alicante/Alacant,Formentera del Segura,03177
354,Alicante/Alacant,Benijófar,03178
355,Alicante/Alacant,Formentera del Segura,03179
356,Alicante/Alacant,Almoradí,03179
357,Alicante/Alacant,Torrevieja,03180
358,Alicante/Alacant,Torrevieja,03181
359,Alicante/Alacant,Torrevieja,03182
360,Alicante/Alacant,Torrevieja,03183
361,Alicante/Alacant,Torrevieja,03184
362,Alicante/Alacant,Torrevieja,03185
363,Alicante/Alacant,Torrevieja,03186
364,Alicante/Alacant,Los Montesinos,03187
365,Alicante/Alacant,Torrevieja,03188
366,Alicante/Alacant,Orihuela,03189
367,Alicante/Alacant,Pilar de la Horadada,03190
368,Alicante/Alacant,Pilar de la Horadada,03191
369,Alicante/Alacant,Orihuela,03191
370,Alicante/Alacant,Orihuela,03192
371,Alicante/Alacant,San Miguel de Salinas,03193
372,Alicante/Alacant,Elche/Elx,03194
373,Alicante/Alacant,Elche/Elx,03195
374,Alicante/Alacant,Elche/Elx,03201
375,Alicante/Alacant,Elche/Elx,03202
376,Alicante/Alacant,Elche/Elx,03203
377,Alicante/Alacant,Elche/Elx,03204
378,Alicante/Alacant,Elche/Elx,03205
379,Alicante/Alacant,Elche/Elx,03206
380,Alicante/Alacant,Elche/Elx,03207
381,Alicante/Alacant,Elche/Elx,03208
382,Alicante/Alacant,Elche/Elx,03290
383,Alicante/Alacant,Elche/Elx,03291
384,Alicante/Alacant,Elche/Elx,03292
385,Alicante/Alacant,Elche/Elx,03293
386,Alicante/Alacant,Elche/Elx,03294
387,Alicante/Alacant,Elche/Elx,03295
388,Alicante/Alacant,Elche/Elx,03296
389,Alicante/Alacant,Orihuela,03300
390,Alicante/Alacant,Jacarilla,03310
391,Alicante/Alacant,Orihuela,03310
392,Alicante/Alacant,Orihuela,03311
393,Alicante/Alacant,Orihuela,03312
394,Alicante/Alacant,Orihuela,03313
395,Alicante/Alacant,Orihuela,03314
396,Alicante/Alacant,Orihuela,03315
397,Alicante/Alacant,Orihuela,03316
398,Alicante/Alacant,Benferri,03316
399,Alicante/Alacant,Callosa de Segura,03317
400,Alicante/Alacant,Elche/Elx,03320
401,Alicante/Alacant,Crevillent,03330
402,Alicante/Alacant,Crevillent,03339
403,Alicante/Alacant,Albatera,03340
404,Alicante/Alacant,Granja de Rocamora,03348
405,Alicante/Alacant,San Isidro,03349
406,Alicante/Alacant,Cox,03350
407,Alicante/Alacant,Callosa de Segura,03360
408,Alicante/Alacant,Rafal,03369
409,Alicante/Alacant,Orihuela,03369
410,Alicante/Alacant,Redován,03370
411,Alicante/Alacant,Bigastro,03380
412,Alicante/Alacant,Benejúzar,03390
413,Asturias,Gijón,03392
414,Alicante/Alacant,Villena,03400
415,Alicante/Alacant,Villena,03408
416,Alicante/Alacant,Salinas,03409
417,Alicante/Alacant,Alicante/Alacant,03409
418,Alicante/Alacant,Villena,03409
419,Alicante/Alacant,Cañada,03409
420,Alicante/Alacant,Biar,03410
421,Alicante/Alacant,Castalla,03420
422,Alicante/Alacant,Onil,03430
423,Alicante/Alacant,Ibi,03440
424,Alicante/Alacant,Banyeres de Mariola,03450
425,Alicante/Alacant,Beneixama,03460
426,Alicante/Alacant,Campo de Mirra/el Camp de Mirra,03469
427,Alicante/Alacant,Beneixama,03469
428,Alicante/Alacant,Benidorm,03501
429,Alicante/Alacant,Benidorm,03502
430,Alicante/Alacant,Benidorm,03503
431,Alicante/Alacant,Finestrat,03509
432,Alicante/Alacant,Callosa d'en Sarriñ,03510
433,Alicante/Alacant,Benimantell,03516
434,Alicante/Alacant,el Castell de Guadalest,03517
435,Alicante/Alacant,Beniardá,03517
436,Alicante/Alacant,Benifato,03517
437,Alicante/Alacant,Confrides,03517
438,Alicante/Alacant,Tñrbena,03518
439,Alicante/Alacant,Bolulla,03518
440,Alicante/Alacant,Polop,03520
441,Alicante/Alacant,la Nucia,03530
442,Alicante/Alacant,Alicante/Alacant,03540
443,Alicante/Alacant,Sant Joan d'Alacant,03550
444,Alicante/Alacant,Alicante/Alacant,03559
445,Alicante/Alacant,el Campello,03560
446,Alicante/Alacant,Aigües,03569
447,Alicante/Alacant,Villajoyosa/la Vila Joiosa,03570
448,Alicante/Alacant,Relleu,03578
449,Alicante/Alacant,Orxeta,03579
450,Alicante/Alacant,Sella,03579
451,Alicante/Alacant,l'Alfñs del Pi,03580
452,Alicante/Alacant,l'Alfñs del Pi,03581
453,Alicante/Alacant,Altea,03590
454,Alicante/Alacant,Altea,03599
455,Alicante/Alacant,Elda,03600
456,Alicante/Alacant,Petrer,03610
457,Alicante/Alacant,Sax,03630
458,Alicante/Alacant,Salinas,03638
459,Alicante/Alacant,Villena,03639
460,Alicante/Alacant,Monóvar/Monñver,03640
461,Alicante/Alacant,Monóvar/Monñver,03649
462,Alicante/Alacant,el Pinós/Pinoso,03650
463,Murcia,Yecla,03657
464,Alicante/Alacant,el Pinós/Pinoso,03657
465,Alicante/Alacant,Salinas,03658
466,Alicante/Alacant,el Pinós/Pinoso,03658
467,Murcia,Jumilla,03659
468,Alicante/Alacant,el Pinós/Pinoso,03659
469,Alicante/Alacant,Novelda,03660
470,Alicante/Alacant,Algueña,03668
471,Alicante/Alacant,la Romana,03669
472,Alicante/Alacant,Monforte del Cid,03670
473,Alicante/Alacant,Monforte del Cid,03679
474,Alicante/Alacant,Aspe,03680
475,Alicante/Alacant,el Fondó de les Neus/Hondón de las Nieves,03688
476,Alicante/Alacant,el Fondó de les Neus/Hondón de las Nieves,03689
477,Alicante/Alacant,Hondón de los Frailes,03689
478,Alicante/Alacant,Orihuela,03689
479,Alicante/Alacant,San Vicente del Raspeig/Sant Vicent del Raspeig,03690
480,Alicante/Alacant,Agost,03698
481,Alicante/Alacant,Alicante/Alacant,03699
482,Alicante/Alacant,Dénia,03700
483,Alicante/Alacant,Dénia,03709
484,Alicante/Alacant,Calp,03710
485,Alicante/Alacant,Benissa,03720
486,Alicante/Alacant,Alcalalí,03723
487,Alicante/Alacant,Teulada,03724
488,Alicante/Alacant,Teulada,03725
489,Alicante/Alacant,Benitachell/el Poble Nou de Benitatxell,03726
490,Alicante/Alacant,Xaló,03727
491,Alicante/Alacant,Alcalalí,03728
492,Alicante/Alacant,Senija,03729
493,Alicante/Alacant,Llíber,03729
494,Alicante/Alacant,Jávea/Xñbia,03730
495,Alicante/Alacant,Jávea/Xñbia,03737
496,Alicante/Alacant,Jávea/Xñbia,03738
497,Alicante/Alacant,Jávea/Xñbia,03739
498,Alicante/Alacant,Gata de Gorgos,03740
499,Alicante/Alacant,Dénia,03749
500,Alicante/Alacant,Pedreguer,03750
501,Alicante/Alacant,Benidoleig,03759
502,Alicante/Alacant,Ondara,03760
503,Alicante/Alacant,Sanet y Negrals,03769
504,Alicante/Alacant,Benimeli,03769
505,Alicante/Alacant,el Rñfol d'Almúnia,03769
506,Alicante/Alacant,Dénia,03770
507,Alicante/Alacant,el Verger,03770
508,Alicante/Alacant,Beniarbeig,03778
509,Alicante/Alacant,els Poblets,03779
510,Alicante/Alacant,Pego,03780
511,Alicante/Alacant,Dénia,03780
512,Alicante/Alacant,l'Atzúbia,03786
513,Alicante/Alacant,Vall de Gallinera,03787
514,Alicante/Alacant,la Vall d'Alcalñ,03788
515,Alicante/Alacant,Vall de Gallinera,03788
516,Alicante/Alacant,la Vall d'Ebo,03789
517,Alicante/Alacant,Orba,03790
518,Alicante/Alacant,la Vall de Laguar,03791
519,Alicante/Alacant,Orba,03791
520,Alicante/Alacant,Parcent,03792
521,Alicante/Alacant,Orba,03792
522,Alicante/Alacant,Murla,03792
523,Alicante/Alacant,Castell de Castells,03793
524,Alicante/Alacant,Benigembla,03794
525,Alicante/Alacant,Tormos,03795
526,Alicante/Alacant,Sagra,03795
527,Alicante/Alacant,Orba,03795
528,Alicante/Alacant,Alcoy/Alcoi,03800
529,Alicante/Alacant,Alcoy/Alcoi,03801
530,Alicante/Alacant,Alcoy/Alcoi,03802
531,Alicante/Alacant,Alcoy/Alcoi,03803
532,Alicante/Alacant,Alcoy/Alcoi,03804
533,Alicante/Alacant,Benilloba,03810
534,Alicante/Alacant,Gorga,03811
535,Alicante/Alacant,Quatretondeta,03811
536,Alicante/Alacant,Balones,03812
537,Alicante/Alacant,Benimassot,03812
538,Alicante/Alacant,Millena,03812
539,Alicante/Alacant,Tollos,03813
540,Alicante/Alacant,Famorca,03813
541,Alicante/Alacant,Facheca,03813
542,Alicante/Alacant,Alcoleja,03814
543,Alicante/Alacant,Benasau,03814
544,Alicante/Alacant,Penñguila,03815
545,Alicante/Alacant,Benifallim,03816
546,Alicante/Alacant,Alcoy/Alcoi,03818
547,Alicante/Alacant,Cocentaina,03820
548,Alicante/Alacant,Benimarfull,03827
549,Alicante/Alacant,Almudaina,03827
550,Alicante/Alacant,Benillup,03827
551,Alicante/Alacant,Planes,03828
552,Alicante/Alacant,Cocentaina,03829
553,Alicante/Alacant,l'Alqueria d'Asnar,03829
554,Alicante/Alacant,Muro de Alcoy,03830
555,Alicante/Alacant,Agres,03837
556,Alicante/Alacant,Alfafara,03838
557,Alicante/Alacant,Muro de Alcoy,03839
558,Alicante/Alacant,Gaianes,03840
559,Alicante/Alacant,Alcocer de Planes,03841
560,Alicante/Alacant,Beniarrés,03850
561,Alicante/Alacant,Lorcha/l'Orxa,03860
562,Almería,Almería,04001
563,Almería,Almería,04002
564,Almería,Almería,04003
565,Almería,Almería,04004
566,Almería,Almería,04005
567,Almería,Almería,04006
568,Almería,Almería,04007
569,Almería,Almería,04008
570,Almería,Almería,04009
571,Almería,Níjar,04100
572,Almería,Níjar,04110
573,Almería,Níjar,04113
574,Almería,Lucainena de las Torres,04114
575,Almería,Níjar,04114
576,Almería,Níjar,04115
577,Almería,Níjar,04116
578,Almería,Níjar,04117
579,Almería,Níjar,04118
580,Almería,Níjar,04119
581,Almería,Almería,04120
582,Almería,Almería,04130
583,Almería,Almería,04131
584,Almería,Carboneras,04140
585,Almería,Níjar,04147
586,Almería,Carboneras,04149
587,Almería,Sorbas,04149
588,Almería,Níjar,04149
589,Almería,Almería,04150
590,Almería,Níjar,04151
591,Almería,Almería,04160
592,Almería,Níjar,04188
593,Almería,Tabernas,04200
594,Almería,Lucainena de las Torres,04210
595,Almería,Turrillas,04211
596,Almería,Tabernas,04211
597,Almería,Lucainena de las Torres,04211
598,Almería,Olula de Castro,04212
599,Almería,Velefique,04212
600,Almería,Castro de Filabres,04212
601,Almería,Senés,04213
602,Almería,Huércal de Almería,04230
603,Almería,Viator,04240
604,Almería,Sorbas,04248
605,Almería,Pechina,04250
606,Almería,Pechina,04259
607,Almería,Rioja,04260
608,Almería,Sorbas,04270
609,Almería,Lubrín,04271
610,Almería,Sorbas,04271
611,Almería,Benizalón,04274
612,Almería,Uleila del Campo,04274
613,Almería,Tíjola,04275
614,Almería,Tahal,04275
615,Almería,Benizalón,04276
616,Almería,Benitagla,04276
617,Almería,Alcudia de Monteagud,04276
618,Almería,Sorbas,04277
619,Almería,Sorbas,04278
620,Almería,Sorbas,04279
621,Almería,Tahal,04279
622,Almería,Uleila del Campo,04279
623,Almería,Los Gallardos,04280
624,Almería,Bédar,04288
625,Almería,Los Gallardos,04288
626,Almería,Sorbas,04289
627,Almería,Bédar,04289
628,Almería,Los Gallardos,04289
629,Almería,Alhama de Almería,04400
630,Almería,Huécija,04409
631,Almería,Alicún,04409
632,Almería,Benahadux,04410
633,Almería,Santa Fe de Mondújar,04420
634,Almería,Instinción,04430
635,Almería,Íllar,04431
636,Almería,Rágol,04440
637,Almería,Canjáyar,04450
638,Almería,Padules,04458
639,Almería,Almócita,04458
640,Almería,Beires,04458
641,Almería,Ohanes,04459
642,Almería,Fondón,04460
643,Almería,Láujar de Andarax,04470
644,Almería,Bayárcal,04479
645,Almería,Fondón,04479
646,Almería,Paterna del Río,04479
647,Almería,Alcolea,04480
648,Almería,Fiñana,04500
649,Almería,Abla,04510
650,Almería,Abrucena,04520
651,Almería,Las Tres Villas,04530
652,Almería,Alboloduy,04531
653,Almería,Las Tres Villas,04532
654,Almería,Abrucena,04533
655,Almería,Nacimiento,04540
656,Almería,Gérgal,04549
657,Almería,Gérgal,04550
658,Almería,Gérgal,04558
659,Almería,Alboloduy,04558
660,Almería,Gérgal,04559
661,Almería,Gádor,04560
662,Almería,Alhabia,04567
663,Almería,Santa Cruz de Marchena,04568
664,Almería,Alsodux,04568
665,Almería,Terque,04569
666,Almería,Bentarique,04569
667,Almería,Huércal-Overa,04600
668,Almería,Albox,04600
669,Almería,Cuevas del Almanzora,04610
670,Almería,Cuevas del Almanzora,04616
671,Almería,Cuevas del Almanzora,04617
672,Almería,Cuevas del Almanzora,04618
673,Almería,Cuevas del Almanzora,04619
674,Almería,Vera,04620
675,Almería,Antas,04628
676,Almería,Antas,04629
677,Almería,Garrucha,04630
678,Almería,Mojácar,04638
679,Almería,Mojácar,04639
680,Almería,Turre,04639
681,Almería,Oria,04640
682,Almería,Pulpí,04640
683,Almería,Cuevas del Almanzora,04647
684,Almería,Pulpí,04647
685,Almería,Pulpí,04648
686,Almería,Cuevas del Almanzora,04648
687,Almería,Pulpí,04649
688,Almería,Zurgena,04650
689,Almería,Terque,04659
690,Almería,Arboleas,04660
691,Almería,Zurgena,04661
692,Almería,Taberno,04661
693,Almería,Huércal-Overa,04662
694,Almería,Zurgena,04662
695,Almería,Huércal-Overa,04690
696,Almería,Huércal-Overa,04691
697,Almería,Taberno,04692
698,Almería,Huércal-Overa,04692
699,Almería,Albox,04692
700,Almería,Huércal-Overa,04693
701,Almería,Huércal-Overa,04694
702,Almería,El Ejido,04700
