"provincia";"poblacion";"codigopostalid"
"Albacete";"Tarazona de la Mancha";"02110"
"Albacete";"La Gineta";"02110"
"Albacete";"Pe?as de San Pedro";"02120"
"Albacete";"Ayna";"02124"
"Albacete";"Liétor";"02124"
"Albacete";"Alcadozo";"02124"
"Albacete";"Ayna";"02125"
"Albacete";"Ayna";"02126"
"Albacete";"Pe?as de San Pedro";"02127"
"Albacete";"Pe?as de San Pedro";"02128"
"Albacete";"Alcadozo";"02128"
"Albacete";"Pozohondo";"02129"
"Albacete";"Bogarra";"02130"
"Albacete";"Paterna del Madera";"02136"
"Albacete";"Paterna del Madera";"02137"
"Albacete";"Pe?ascosa";"02138"
"Albacete";"Paterna del Madera";"02138"
"Albacete";"Bogarra";"02138"
"Albacete";"Bogarra";"02139"
"Albacete";"Ayna";"02139"
"Albacete";"Albacete";"02140"
"Albacete";"Pozohondo";"02141"
"Albacete";"Pozohondo";"02142"
"Albacete";"Liétor";"02142"
"Albacete";"Valdeganga";"02150"
"Albacete";"Casas de Juan Nú?ez";"02151"
"Albacete";"Alatoz";"02152"
"Albacete";"Carcelén";"02153"
"Albacete";"Villavaliente";"02154"
"Albacete";"Pozo-Lorente";"02154"
"Albacete";"Albacete";"02155"
"Albacete";"Chinchilla de Monte-Aragón";"02156"
"Albacete";"Lezuza";"02160"
"Albacete";"Lezuza";"02161"
"Albacete";"La Herrera";"02162"
"Huelva";"Bollullos Par del Condado";"02170"
"Albacete";"Casas-Ibá?ez";"02200"
"Albacete";"Alcalá del Júcar";"02210"
"Albacete";"Alcalá del Júcar";"02211"
"Albacete";"Casas de Ves";"02212"
"Albacete";"Balsa de Ves";"02213"
"Albacete";"Villa de Ves";"02213"
"Albacete";"Balsa de Ves";"02214"
"Albacete";"Alcalá del Júcar";"02214"
"Albacete";"Villatoya";"02215"
"Albacete";"Alborea";"02215"
"Albacete";"Motilleja";"02220"
"Albacete";"Madrigueras";"02230"
"Albacete";"Mahora";"02240"
"Albacete";"Navas de Jorquera";"02246"
"Albacete";"Cenizate";"02247"
"Albacete";"Jorquera";"02248"
"Albacete";"La Recueja";"02249"
"Albacete";"Fuentealbilla";"02249"
"Albacete";"Jorquera";"02249"
"Albacete";"Abengibre";"02250"
"Albacete";"Fuentealbilla";"02251"
"Albacete";"Alcalá del Júcar";"02252"
"Albacete";"Golosalvo";"02253"
"Albacete";"Fuentealbilla";"02260"
"Albacete";"Villamalea";"02270"
"Albacete";"Alcaraz";"02300"
"Albacete";"Viveros";"02310"
"Albacete";"Povedilla";"02311"
"Albacete";"Alcaraz";"02312"
"Albacete";"Pe?ascosa";"02313"
"Albacete";"Pe?ascosa";"02314"
"Albacete";"Masegoso";"02314"
"Albacete";"Alcaraz";"02314"
"Albacete";"Vianos";"02315"
"Albacete";"Salobre";"02316"
"Albacete";"Balazote";"02320"
"Albacete";"San Pedro";"02326"
"Albacete";"Pozuelo";"02327"
"Albacete";"Albacete";"02328"
"Albacete";"Casas de Lázaro";"02329"
"Albacete";"Alcaraz";"02330"
"Albacete";"Robledo";"02331"
"Albacete";"Robledo";"02332"
"Albacete";"Robledo";"02340"
"Albacete";"Villapalacios";"02350"
"Albacete";"Bienservida";"02360"
"Albacete";"Hellín";"02400"
"Albacete";"Hellín";"02409"
"Albacete";"Liétor";"02410"
"Albacete";"Hellín";"02420"
"Albacete";"Elche de la Sierra";"02430"
"Albacete";"Letur";"02434"
"Albacete";"Socovos";"02435"
"Albacete";"Férez";"02436"
"Albacete";"Socovos";"02437"
"Murcia";"Moratalla";"02438"
"Albacete";"Elche de la Sierra";"02439"
"Albacete";"Molinicos";"02440"
"Albacete";"Bogarra";"02448"
"Albacete";"Molinicos";"02448"
"Albacete";"Molinicos";"02449"
"Albacete";"Elche de la Sierra";"02449"
"Albacete";"Riópar";"02450"
"Albacete";"Paterna del Madera";"02459"
"Albacete";"Riópar";"02459"
"Albacete";"Villaverde de Guadalimar";"02460"
"Albacete";"Cotillas";"02461"
"Albacete";"Villaverde de Guadalimar";"02462"
"Albacete";"Riópar";"02462"
"Albacete";"Elche de la Sierra";"02470"
"Albacete";"Yeste";"02480"
"Albacete";"Yeste";"02482"
"Albacete";"Yeste";"02484"
"Albacete";"Yeste";"02485"
"Albacete";"Yeste";"02486"
"Albacete";"Yeste";"02487"
"Albacete";"Yeste";"02488"
"Albacete";"Yeste";"02489"
"Albacete";"Hellín";"02490"
"Albacete";"Hellín";"02498"
"Albacete";"Hellín";"02499"
"Albacete";"Tobarra";"02500"
"Albacete";"Pozo Ca?ada";"02510"
"Albacete";"Chinchilla de Monte-Aragón";"02510"
"Albacete";"Albacete";"02511"
"Albacete";"Albacete";"02512"
"Albacete";"Tobarra";"02513"
"Albacete";"Tobarra";"02514"
"Albacete";"Chinchilla de Monte-Aragón";"02520"
"Albacete";"Chinchilla de Monte-Aragón";"02529"
"Albacete";"Nerpio";"02530"
"Albacete";"Nerpio";"02534"
"Albacete";"Nerpio";"02535"
"Albacete";"Nerpio";"02536"
"Albacete";"Nerpio";"02537"
"Albacete";"Nerpio";"02538"
"Albacete";"Nerpio";"02539"
"Albacete";"Villarrobledo";"02600"
"Albacete";"El Bonillo";"02610"
"Albacete";"Ossa de Montiel";"02611"
"Albacete";"Villarrobledo";"02612"
"Albacete";"Munera";"02612"
"Albacete";"El Bonillo";"02613"
"Albacete";"El Ballestero";"02614"
"Albacete";"Minaya";"02620"
"Albacete";"La Roda";"02630"
"Albacete";"Villalgordo del Júcar";"02636"
"Cuenca";"Casas de Benítez";"02636"
"Albacete";"Fuensanta";"02637"
"Albacete";"Montalvos";"02638"
"Albacete";"La Roda";"02639"
"Albacete";"Barrax";"02639"
"Albacete";"Almansa";"02640"
"Albacete";"Montealegre del Castillo";"02650"
"Albacete";"Fuente-Álamo";"02651"
"Albacete";"Ontur";"02652"
"Albacete";"Albatana";"02653"
"Albacete";"Caudete";"02660"
"Albacete";"Alpera";"02690"
"Albacete";"Higueruela";"02690"
"Albacete";"Bonete";"02691"
"Albacete";"Chinchilla de Monte-Aragón";"02692"
"Albacete";"Pétrola";"02692"
"Albacete";"Corral-Rubio";"02693"
"Albacete";"Higueruela";"02694"
"Albacete";"Chinchilla de Monte-Aragón";"02695"
"Albacete";"Hoya-Gonzalo";"02696"
"Albacete";"Ayna";"02999"
"Alicante/Alacant";"Alicante/Alacant";"03001"
"Alicante/Alacant";"Alicante/Alacant";"03002"
"Alicante/Alacant";"Alicante/Alacant";"03003"
"Alicante/Alacant";"Alicante/Alacant";"03004"
"Alicante/Alacant";"Alicante/Alacant";"03005"
"Alicante/Alacant";"Alicante/Alacant";"03006"
"Alicante/Alacant";"Alicante/Alacant";"03007"
"Alicante/Alacant";"Alicante/Alacant";"03008"
"Alicante/Alacant";"Alicante/Alacant";"03009"
"Alicante/Alacant";"Alicante/Alacant";"03010"
"Murcia";"Murcia";"03010"
"Alicante/Alacant";"Alicante/Alacant";"03011"
"Alicante/Alacant";"Alicante/Alacant";"03012"
"Alicante/Alacant";"Alicante/Alacant";"03013"
"Alicante/Alacant";"Alicante/Alacant";"03014"
"Alicante/Alacant";"Alicante/Alacant";"03015"
"Alicante/Alacant";"Alicante/Alacant";"03016"
"Alicante/Alacant";"Jijona/Xixona";"03100"
"Alicante/Alacant";"Torremanzanas/la Torre de les Maçanes";"03108"
"Alicante/Alacant";"Tibi";"03109"
"Alicante/Alacant";"Mutxamel";"03110"
"Alicante/Alacant";"Busot";"03111"
"Alicante/Alacant";"Alicante/Alacant";"03112"
"Alicante/Alacant";"Alicante/Alacant";"03113"
"Alicante/Alacant";"Alicante/Alacant";"03114"
"Alicante/Alacant";"Alicante/Alacant";"03115"
"Alicante/Alacant";"Santa Pola";"03130"
"Alicante/Alacant";"Alicante/Alacant";"03138"
"Alicante/Alacant";"Elche/Elx";"03139"
"Alicante/Alacant";"Guardamar del Segura";"03140"
"Alicante/Alacant";"Dolores";"03150"
"Alicante/Alacant";"Crevillent";"03158"
"Alicante/Alacant";"Catral";"03158"
"Alicante/Alacant";"Daya Nueva";"03159"
"Alicante/Alacant";"Almoradí";"03160"
"Alicante/Alacant";"Algorfa";"03169"
"Alicante/Alacant";"Rojales";"03170"
"Alicante/Alacant";"San Fulgencio";"03177"
"Alicante/Alacant";"Daya Vieja";"03177"
"Alicante/Alacant";"Formentera del Segura";"03177"
"Alicante/Alacant";"Benijófar";"03178"
"Alicante/Alacant";"Formentera del Segura";"03179"
"Alicante/Alacant";"Almoradí";"03179"
"Alicante/Alacant";"Torrevieja";"03180"
"Alicante/Alacant";"Torrevieja";"03181"
"Alicante/Alacant";"Torrevieja";"03182"
"Alicante/Alacant";"Torrevieja";"03183"
"Alicante/Alacant";"Torrevieja";"03184"
"Alicante/Alacant";"Torrevieja";"03185"
"Alicante/Alacant";"Torrevieja";"03186"
"Alicante/Alacant";"Los Montesinos";"03187"
"Alicante/Alacant";"Torrevieja";"03188"
"Alicante/Alacant";"Orihuela";"03189"
"Alicante/Alacant";"Pilar de la Horadada";"03190"
"Alicante/Alacant";"Pilar de la Horadada";"03191"
"Alicante/Alacant";"Orihuela";"03191"
"Alicante/Alacant";"Orihuela";"03192"
"Alicante/Alacant";"San Miguel de Salinas";"03193"
"Alicante/Alacant";"Elche/Elx";"03194"
"Alicante/Alacant";"Elche/Elx";"03195"
"Alicante/Alacant";"Elche/Elx";"03201"
"Alicante/Alacant";"Elche/Elx";"03202"
"Alicante/Alacant";"Elche/Elx";"03203"
"Alicante/Alacant";"Elche/Elx";"03204"
"Alicante/Alacant";"Elche/Elx";"03205"
"Alicante/Alacant";"Elche/Elx";"03206"
"Alicante/Alacant";"Elche/Elx";"03207"
"Alicante/Alacant";"Elche/Elx";"03208"
"Alicante/Alacant";"Elche/Elx";"03290"
"Alicante/Alacant";"Elche/Elx";"03291"
"Alicante/Alacant";"Elche/Elx";"03292"
"Alicante/Alacant";"Elche/Elx";"03293"
"Alicante/Alacant";"Elche/Elx";"03294"
"Alicante/Alacant";"Elche/Elx";"03295"
"Alicante/Alacant";"Elche/Elx";"03296"
"Alicante/Alacant";"Orihuela";"03300"
"Alicante/Alacant";"Jacarilla";"03310"
"Alicante/Alacant";"Orihuela";"03310"
"Alicante/Alacant";"Orihuela";"03311"
"Alicante/Alacant";"Orihuela";"03312"
"Alicante/Alacant";"Orihuela";"03313"
"Alicante/Alacant";"Orihuela";"03314"
"Alicante/Alacant";"Orihuela";"03315"
"Alicante/Alacant";"Orihuela";"03316"
"Alicante/Alacant";"Benferri";"03316"
"Alicante/Alacant";"Callosa de Segura";"03317"
"Alicante/Alacant";"Elche/Elx";"03320"
"Alicante/Alacant";"Crevillent";"03330"
"Alicante/Alacant";"Crevillent";"03339"
"Alicante/Alacant";"Albatera";"03340"
"Alicante/Alacant";"Granja de Rocamora";"03348"
"Alicante/Alacant";"San Isidro";"03349"
"Alicante/Alacant";"Cox";"03350"
"Alicante/Alacant";"Callosa de Segura";"03360"
"Alicante/Alacant";"Rafal";"03369"
"Alicante/Alacant";"Orihuela";"03369"
"Alicante/Alacant";"Redován";"03370"
"Alicante/Alacant";"Bigastro";"03380"
"Alicante/Alacant";"Benejúzar";"03390"
"Asturias";"Gijón";"03392"
"Alicante/Alacant";"Villena";"03400"
"Alicante/Alacant";"Villena";"03408"
"Alicante/Alacant";"Salinas";"03409"
"Alicante/Alacant";"Alicante/Alacant";"03409"
"Alicante/Alacant";"Villena";"03409"
"Alicante/Alacant";"Ca?ada";"03409"
"Alicante/Alacant";"Biar";"03410"
"Alicante/Alacant";"Castalla";"03420"
"Alicante/Alacant";"Onil";"03430"
"Alicante/Alacant";"Ibi";"03440"
"Alicante/Alacant";"Banyeres de Mariola";"03450"
"Alicante/Alacant";"Beneixama";"03460"
"Alicante/Alacant";"Campo de Mirra/el Camp de Mirra";"03469"
"Alicante/Alacant";"Beneixama";"03469"
"Alicante/Alacant";"Benidorm";"03501"
"Alicante/Alacant";"Benidorm";"03502"
"Alicante/Alacant";"Benidorm";"03503"
"Alicante/Alacant";"Finestrat";"03509"
"Alicante/Alacant";"Callosa d'en Sarri?";"03510"
"Alicante/Alacant";"Benimantell";"03516"
"Alicante/Alacant";"el Castell de Guadalest";"03517"
"Alicante/Alacant";"Beniardá";"03517"
"Alicante/Alacant";"Benifato";"03517"
"Alicante/Alacant";"Confrides";"03517"
"Alicante/Alacant";"T?rbena";"03518"
"Alicante/Alacant";"Bolulla";"03518"
"Alicante/Alacant";"Polop";"03520"
"Alicante/Alacant";"la Nucia";"03530"
"Alicante/Alacant";"Alicante/Alacant";"03540"
"Alicante/Alacant";"Sant Joan d'Alacant";"03550"
"Alicante/Alacant";"Alicante/Alacant";"03559"
"Alicante/Alacant";"el Campello";"03560"
"Alicante/Alacant";"Aigües";"03569"
"Alicante/Alacant";"Villajoyosa/la Vila Joiosa";"03570"
"Alicante/Alacant";"Relleu";"03578"
"Alicante/Alacant";"Orxeta";"03579"
"Alicante/Alacant";"Sella";"03579"
"Alicante/Alacant";"l'Alf?s del Pi";"03580"
"Alicante/Alacant";"l'Alf?s del Pi";"03581"
"Alicante/Alacant";"Altea";"03590"
"Alicante/Alacant";"Altea";"03599"
"Alicante/Alacant";"Elda";"03600"
"Alicante/Alacant";"Petrer";"03610"
"Alicante/Alacant";"Sax";"03630"
"Alicante/Alacant";"Salinas";"03638"
"Alicante/Alacant";"Villena";"03639"
"Alicante/Alacant";"Monóvar/Mon?ver";"03640"
"Alicante/Alacant";"Monóvar/Mon?ver";"03649"
"Alicante/Alacant";"el Pinós/Pinoso";"03650"
"Murcia";"Yecla";"03657"
"Alicante/Alacant";"el Pinós/Pinoso";"03657"
"Alicante/Alacant";"Salinas";"03658"
"Alicante/Alacant";"el Pinós/Pinoso";"03658"
"Murcia";"Jumilla";"03659"
"Alicante/Alacant";"el Pinós/Pinoso";"03659"
"Alicante/Alacant";"Novelda";"03660"
"Alicante/Alacant";"Algue?a";"03668"
"Alicante/Alacant";"la Romana";"03669"
"Alicante/Alacant";"Monforte del Cid";"03670"
"Alicante/Alacant";"Monforte del Cid";"03679"
"Alicante/Alacant";"Aspe";"03680"
"Alicante/Alacant";"el Fondó de les Neus/Hondón de las Nieves";"03688"
"Alicante/Alacant";"el Fondó de les Neus/Hondón de las Nieves";"03689"
"Alicante/Alacant";"Hondón de los Frailes";"03689"
"Alicante/Alacant";"Orihuela";"03689"
"Alicante/Alacant";"San Vicente del Raspeig/Sant Vicent del Raspeig";"03690"
"Alicante/Alacant";"Agost";"03698"
"Alicante/Alacant";"Alicante/Alacant";"03699"
"Alicante/Alacant";"Dénia";"03700"
"Alicante/Alacant";"Dénia";"03709"
"Alicante/Alacant";"Calp";"03710"
"Alicante/Alacant";"Benissa";"03720"
"Alicante/Alacant";"Alcalalí";"03723"
"Alicante/Alacant";"Teulada";"03724"
"Alicante/Alacant";"Teulada";"03725"
"Alicante/Alacant";"Benitachell/el Poble Nou de Benitatxell";"03726"
"Alicante/Alacant";"Xaló";"03727"
"Alicante/Alacant";"Alcalalí";"03728"
"Alicante/Alacant";"Senija";"03729"
"Alicante/Alacant";"Llíber";"03729"
"Alicante/Alacant";"Jávea/X?bia";"03730"
"Alicante/Alacant";"Jávea/X?bia";"03737"
"Alicante/Alacant";"Jávea/X?bia";"03738"
"Alicante/Alacant";"Jávea/X?bia";"03739"
"Alicante/Alacant";"Gata de Gorgos";"03740"
"Alicante/Alacant";"Dénia";"03749"
"Alicante/Alacant";"Pedreguer";"03750"
"Alicante/Alacant";"Benidoleig";"03759"
"Alicante/Alacant";"Ondara";"03760"
"Alicante/Alacant";"Sanet y Negrals";"03769"
"Alicante/Alacant";"Benimeli";"03769"
"Alicante/Alacant";"el R?fol d'Almúnia";"03769"
"Alicante/Alacant";"Dénia";"03770"
"Alicante/Alacant";"el Verger";"03770"
"Alicante/Alacant";"Beniarbeig";"03778"
"Alicante/Alacant";"els Poblets";"03779"
"Alicante/Alacant";"Pego";"03780"
"Alicante/Alacant";"Dénia";"03780"
"Alicante/Alacant";"l'Atzúbia";"03786"
"Alicante/Alacant";"Vall de Gallinera";"03787"
"Alicante/Alacant";"la Vall d'Alcal?";"03788"
"Alicante/Alacant";"Vall de Gallinera";"03788"
"Alicante/Alacant";"la Vall d'Ebo";"03789"
"Alicante/Alacant";"Orba";"03790"
"Alicante/Alacant";"la Vall de Laguar";"03791"
"Alicante/Alacant";"Orba";"03791"
"Alicante/Alacant";"Parcent";"03792"
"Alicante/Alacant";"Orba";"03792"
"Alicante/Alacant";"Murla";"03792"
"Alicante/Alacant";"Castell de Castells";"03793"
"Alicante/Alacant";"Benigembla";"03794"
"Alicante/Alacant";"Tormos";"03795"
"Alicante/Alacant";"Sagra";"03795"
"Alicante/Alacant";"Orba";"03795"
"Alicante/Alacant";"Alcoy/Alcoi";"03800"
"Alicante/Alacant";"Alcoy/Alcoi";"03801"
"Alicante/Alacant";"Alcoy/Alcoi";"03802"
"Alicante/Alacant";"Alcoy/Alcoi";"03803"
"Alicante/Alacant";"Alcoy/Alcoi";"03804"
"Alicante/Alacant";"Benilloba";"03810"
"Alicante/Alacant";"Gorga";"03811"
"Alicante/Alacant";"Quatretondeta";"03811"
"Alicante/Alacant";"Balones";"03812"
"Alicante/Alacant";"Benimassot";"03812"
"Alicante/Alacant";"Millena";"03812"
"Alicante/Alacant";"Tollos";"03813"
"Alicante/Alacant";"Famorca";"03813"
"Alicante/Alacant";"Facheca";"03813"
"Alicante/Alacant";"Alcoleja";"03814"
"Alicante/Alacant";"Benasau";"03814"
"Alicante/Alacant";"Pen?guila";"03815"
"Alicante/Alacant";"Benifallim";"03816"
"Alicante/Alacant";"Alcoy/Alcoi";"03818"
"Alicante/Alacant";"Cocentaina";"03820"
"Alicante/Alacant";"Benimarfull";"03827"
"Alicante/Alacant";"Almudaina";"03827"
"Alicante/Alacant";"Benillup";"03827"
"Alicante/Alacant";"Planes";"03828"
"Alicante/Alacant";"Cocentaina";"03829"
"Alicante/Alacant";"l'Alqueria d'Asnar";"03829"
"Alicante/Alacant";"Muro de Alcoy";"03830"
"Alicante/Alacant";"Agres";"03837"
"Alicante/Alacant";"Alfafara";"03838"
"Alicante/Alacant";"Muro de Alcoy";"03839"
"Alicante/Alacant";"Gaianes";"03840"
"Alicante/Alacant";"Alcocer de Planes";"03841"
"Alicante/Alacant";"Beniarrés";"03850"
"Alicante/Alacant";"Lorcha/l'Orxa";"03860"
"Almería";"Almería";"04001"
"Almería";"Almería";"04002"
"Almería";"Almería";"04003"
"Almería";"Almería";"04004"
"Almería";"Almería";"04005"
"Almería";"Almería";"04006"
"Almería";"Almería";"04007"
"Almería";"Almería";"04008"
"Almería";"Almería";"04009"
"Almería";"Níjar";"04100"
"Almería";"Níjar";"04110"
"Almería";"Níjar";"04113"
"Almería";"Lucainena de las Torres";"04114"
"Almería";"Níjar";"04114"
"Almería";"Níjar";"04115"
"Almería";"Níjar";"04116"
"Almería";"Níjar";"04117"
"Almería";"Níjar";"04118"
"Almería";"Níjar";"04119"
"Almería";"Almería";"04120"
"Almería";"Almería";"04130"
"Almería";"Almería";"04131"
"Almería";"Carboneras";"04140"
"Almería";"Níjar";"04147"
"Almería";"Carboneras";"04149"
"Almería";"Sorbas";"04149"
"Almería";"Níjar";"04149"
"Almería";"Almería";"04150"
"Almería";"Níjar";"04151"
"Almería";"Almería";"04160"
"Almería";"Níjar";"04188"
"Almería";"Tabernas";"04200"
"Almería";"Lucainena de las Torres";"04210"
"Almería";"Turrillas";"04211"
"Almería";"Tabernas";"04211"
"Almería";"Lucainena de las Torres";"04211"
"Almería";"Olula de Castro";"04212"
"Almería";"Velefique";"04212"
"Almería";"Castro de Filabres";"04212"
"Almería";"Senés";"04213"
"Almería";"Huércal de Almería";"04230"
"Almería";"Viator";"04240"
"Almería";"Sorbas";"04248"
"Almería";"Pechina";"04250"
"Almería";"Pechina";"04259"
"Almería";"Rioja";"04260"
"Almería";"Sorbas";"04270"
"Almería";"Lubrín";"04271"
"Almería";"Sorbas";"04271"
"Almería";"Benizalón";"04274"
"Almería";"Uleila del Campo";"04274"
"Almería";"Tíjola";"04275"
"Almería";"Tahal";"04275"
"Almería";"Benizalón";"04276"
"Almería";"Benitagla";"04276"
"Almería";"Alcudia de Monteagud";"04276"
"Almería";"Sorbas";"04277"
"Almería";"Sorbas";"04278"
"Almería";"Sorbas";"04279"
